井冈山市博达公路施工有限公司
浙江金坤建设有限公司
南京贯发建筑劳务有限公司
南通大恒环境工程有限公司
宿州市君诚建材有限公司
宿州市强华混凝土有限公司
安徽中亚建设工程咨询有限公司
安徽龙湖架业有限公司
宿州市立晟建筑工程有限公司
安徽伟盛市政园林工程有限公司
浙江省一建建设集团有限公司宿州分公司
安徽亚瑞建筑工程有限公司
安徽中煤三建试验检测有限责任公司
安徽屹盛建筑工程有限公司
安徽隆仁建筑工程有限公司
安徽省玖月建筑工程有限公司
宿州市元基建筑工程有限公司
安徽隆旭建设科技有限公司
宿州市大翔建筑工程有限公司
江苏港宁装璜有限公司
盐城市杰出塔机租赁安装有限公司
南通源丰建设工程有限公司
河南智信安装工程有限公司
七冶建设有限责任公司
五矿瑞和（上海）建设有限公司
江苏宾城电力建设有限公司
江苏东伟建筑工程有限公司
北京通成达水务建设有限公司
上海住豪建筑工程有限公司
江苏金标营建设有限公司
宿州安盛达建筑劳务有限公司
宿州市盛泰劳务有限公司
安徽恒华建筑劳务有限公司
安徽玉翔市政建设有限公司
宿州皖盛工程咨询有限公司
安徽偕行路桥工程有限公司
安徽金衡电力工程有限公司
安徽盛科电力工程有限公司
宿州市晟泽门窗有限责任公司
安徽众恒建筑工程有限公司
安徽建鑫工程咨询有限公司
安徽海德瑞丰信息科技有限公司
安徽峻屹项目管理有限责任公司
宿州市永强混凝土有限公司
安徽宸瑞公路工程有限公司
江苏晟益建筑安装工程有限公司
上海浦高地基基础工程有限公司
重庆市亚东建设工程集团有限公司
上海鹭城建设集团有限公司
上海建工七建集团有限公司
江苏立弘建筑工程有限公司
浙江森禾种业股份有限公司
常州市通力市政工程有限公司
江西省连城建筑工程有限公司
浙江鼎元建设有限公司
江苏贤德建设工程有限公司
浙江创业建设工程有限公司
安徽泰恒工程咨询有限公司
安徽庄梦苑建筑工程有限公司
宿州市华安建设工程招标有限公司
宿州市建设工程质量检测中心
安徽诚建工程项目管理有限公司
宿州共济建筑工程有限公司
宿州市程锦建筑工程有限公司
安徽禹大路桥工程有限公司
安徽晟裕建筑工程有限公司
安徽立信工程试验检测有限责任公司
安徽联荣建筑工程有限公司
安徽建科工程机械设备安装有限公司
安徽瑞新路桥工程有限责任公司
宿州市凯通建筑工程有限公司
安徽省恒立路桥有限公司
上海兴宇建设工程有限公司
福建省南铝铝材工程有限公司
江苏工民建设发展有限公司
江苏万腾建设有限公司
江西中仁建筑工程有限公司
南京金中建幕墙装饰有限公司
郑州建工集团有限公司
徐州荣泰建设有限公司
江苏恒达建筑集团有限公司
徐州天利达建筑安装工程有限公司
安徽汉华建筑工程有限公司
宿州市金塔工程机械租赁有限公司
安徽江夏路桥工程有限公司
宿州越洋劳务服务有限公司
安徽宿联信息科技有限公司
安徽兴皖建设工程有限公司
安徽省宏泰顺祥建筑工程有限公司
安徽和信科教设备股份有限公司
安徽赛沃电气科技股份有限公司
安徽宿州旭阳电力工程有限公司
安徽远华建筑工程有限公司
安徽达驰电力建设有限公司
宿州市白马建筑工程有限公司
安徽晟通建筑工程有限公司
安徽晟豪路桥工程有限公司
上海宝德建筑工程有限公司
江苏亚兴市政工程有限公司
沈阳双兴建设集团有限公司
中资建设工程有限公司
宁波远翔交通建设有限公司
江苏和弘建设有限公司
南通路桥工程有限公司
江西省水电工程局
上海蓝江建筑基础工程有限公司
江苏泰瑞市政园林工程有限公司
杭州伟业市政园林建设有限公司
宿州市康凯非开挖工程有限公司
安徽东明电气有限公司
安徽灵厦建设工程有限公司
宿州市金松石建筑劳务有限公司
宿州市凯丰建筑安装工程有限公司
安徽泰鑫建筑装饰工程有限公司
