粤水电轨道交通建设有限公司
深圳市信方达科技发展股份有限公司
青岛柳源绿化环境建设集团有限公司
世昌建设集团有限公司
天津路桥建设工程有限公司
常州达丰兆茂机械工程有限公司广州市芳村市政园林建设工程有限公司
深圳市深龙鑫建筑装饰设计工程有限公司
广州讯联通信科技股份有限公司
湖南浩宇建设有限公司
广东瑞丰建设有限公司
深圳市天健建筑机械设备租赁有限公司
宁波交通工程建设集团有限公司
江西琅琚建设有限责任公司
深圳市旭日劳务有限公司
深圳市中升建科科技发展有限公司
胜利园林有限公司
北京世纪浩博防腐工程有限公司
江西华安建设集团有限公司
陕西嘉宏建筑工程有限公司
深圳市信中机电工程有限公司
深圳市华发展机电制冷工程装饰有限公司
吉林省嘉鹏集团有限公司
安徽昌达道路设施工程有限责任公司
广东金聪建设工程有限公司
深圳市华旭机电能源有限公司
中英国际建工集团有限公司
深圳市中光建设工程有限公司
广东鼎顺建设工程有限公司
杭州路顺环境建设有限公司
广东路路通有限公司
广西粤海建工集团有限公司
中交隧道局第五工程有限公司
中汇建筑集团有限公司
广东华星建设集团有限公司
深圳市长宽高建筑工程有限公司
茂名市第三建筑集团有限公司
深圳广田生态环境有限公司
广东鹏祥建设有限公司
核工业华东二六八基础工程公司
四川省建筑机械化工程公司
湖南衡一建设集团有限公司
福建华胜达建设有限公司
深圳市新达基建设有限公司
中国能源建设集团安徽电力建设第二工程有限公司
广东京广建设有限公司
惠州市潮丰建筑有限公司
陕西浩安园林建设有限公司
深圳市麒峰建筑工程有限公司
北京市新港永豪水务工程有限公司
同济环境科技集团（深圳）有限公司
中龙茂林建设集团有限公司
河北道桥交通集团有限公司
湖南北控威保特环境科技股份有限公司
庄子建设集团（保定）有限公司
广东辰展建设有限公司
陕西省汉中路桥有限责任公司
中建科技有限公司
少伯环境建设有限公司
广东广核建设工程有限公司
郑州绿元市政园林有限公司
江西大成建设工程有限公司
抚州市中海建设有限公司
浙江三德环境建设有限公司
福建安盈劳务有限公司
